Marquee	Easting,Northing_1	Easting,Northing_2	Easting,Northing_3	Easting,Northing_4
12 Toilets 1	476034.9105,137319.4601	476030.46,137317.662	476031.3591,137315.4368	476035.8096,137317.2349
12 Toilets 2	476036.4839,137315.566	476032.0334,137313.7678	476032.9325,137311.5426	476037.3829,137313.3407
24 Hr Dining 	476382.8493,137868.8909	476394.7676,137867.493	476397.2141,137888.35	476385.2958,137889.7479
 Ladies Dining 1	476378.7978,137685.7293	476413.7978,137625.1076	476392.1472,137612.6076	476357.1472,137673.2293
AMA 1	475917.0468,137226.9568	475918.9199,137222.3209	475923.5558,137224.1939	475921.6827,137228.8298
AMA 2	476541.7722,137885.1722	476542.3665,137890.1368	476537.4019,137890.731	476536.8077,137885.7665
Amaanat 	475999.7812,137450.8605	475991.4366,137447.4891	475995.9319,137436.3629	476004.2765,137439.7343
Ambulance 1	476123.0615,137481.4881	476125.2689,137480.3144	476127.9449,137485.3472	476125.7375,137486.5209
Ambulance 2	476123.688,137475.8776	476126.3368,137474.4692	476127.7452,137477.118	476125.0964,137478.5265
Amenities 1	476466.9382,137726.457	476461.0294,137727.4989	476459.9875,137721.5901	476465.8963,137720.5482
Amenities 2	476475.8015,137724.8942	476469.8926,137725.9361	476468.8508,137720.0272	476474.7596,137718.9853
Amoor  e Ama 1	476079.0297,137198.85	476076.782,137204.4131	476082.3451,137206.6608	476084.5928,137201.0977
Amoor  e Ama 2	476099.2777,137196.7847	476082.5884,137190.0418	476079.217,137198.3864	476095.9063,137205.1293
Amoor e Ama 	476015.3194,137636.7085	476012.6891,137642.1012	476018.0819,137644.7315	476020.7121,137639.3387
Arab Marquee 	476285.2018,137359.4142	476289.7018,137351.62	476263.721,137336.62	476259.221,137344.4142
Archives 	476082.2356,137505.5651	476061.451,137493.5651	476055.451,137503.9574	476076.2356,137515.9574
Baby Changing 	476201.8673,137630.033	476212.4627,137624.3994	476208.2374,137616.4528	476197.6421,137622.0865
Barn Hygiene Accom	476400.7098,137885.5514	476400.0108,137879.5923	476405.9699,137878.8933	476406.6689,137884.8524
Book Stall 1	476164.5538,137565.3307	476173.0043,137581.2238	476162.4089,137586.8574	476153.9584,137570.9644
Book Stall 2	476094.3877,137474.7772	476083.9953,137468.7772	476098.9953,137442.7965	476109.3877,137448.7965
Bordon Charity	475998.4701,137454.1057	475992.907,137451.858	475994.0308,137449.0765	475999.5939,137451.3241
Breakfast 	476072.3022,137307.497	476077.9213,137293.5893	476100.1737,137302.5798	476094.5546,137316.4876
Canadian Accom	476013.8003,137370.7811	476002.6741,137366.2858	476022.9029,137316.2179	476034.0291,137320.7132
Cannopy	476111.6659,137633.9975	476113.1661,137631.3996	476100.176,137623.8991	476098.6758,137626.4971
Canopy 1	475941.8564,137545.374	475947.8564,137534.9817	475945.2583,137533.4817	475939.2583,137543.874
Canopy 2	475945.3205,137547.374	475951.3205,137536.9817	475948.7224,137535.4817	475942.7224,137545.874
Canopy 3	476206.4379,137557.6514	476222.331,137549.2009	476226.5562,137557.1475	476210.6631,137565.5979
Canopy 4	476229.3945,137545.4452	476245.2876,137536.9947	476249.5128,137544.9412	476233.6198,137553.3917
Canopy 5	476251.9097,137533.4736	476267.8028,137525.0231	476272.028,137532.9697	476256.135,137541.4202
Canopy 6	476112.8022,137424.1493	476165.779,137395.981	476156.3896,137378.3221	476103.4127,137406.4904
Canopy 7	476154.9812,137375.6732	476102.0043,137403.8415	476097.7791,137395.895	476150.7559,137367.7267
Car Park Nizamat 	475895.3074,137716.2332	475893.7445,137707.3699	475887.8357,137708.4118	475889.3985,137717.2751
Car Pass Office 	475983.8616,137621.3655	475981.2314,137626.7583	475986.6241,137629.3885	475989.2543,137623.9957
Comms 1	476078.2547,137540.9498	476075.6567,137539.4498	476070.6567,137548.1101	476073.2547,137549.6101
Comms 2	476108.1245,137479.2441	476102.9283,137476.2441	476104.4283,137473.646	476109.6245,137476.646
Creche 	476196.8044,137633.2913	476212.6974,137624.8408	476218.3311,137635.4362	476202.438,137643.8867
Drivers Waiting Area 	476101.301,137676.4193	476098.6708,137681.8121	476104.0636,137684.4423	476106.6938,137679.0496
Elec Team 	476228.964,137252.3665	476230.464,137249.7684	476227.866,137248.2684	476226.366,137250.8665
Event Management 	476095.0983,137577.5601	476090.0983,137586.2204	476072.7778,137576.2204	476077.7778,137567.5601
Exhibition 	476076.2799,137522.8429	476006.9978,137482.8429	475994.4978,137504.4936	476063.7799,137544.4936
First Aid 	476127.8166,137525.9296	476154.3051,137511.8455	476147.263,137498.6013	476120.7745,137512.6854
Flag Hoisting	476175.6525,137352.8851	476172.6525,137358.0813	476177.8486,137361.0813	476180.8486,137355.8851
FM Radio 	476204.4202,137324.322	476202.9202,137326.92	476194.26,137321.92	476195.76,137319.322
Food Packing 	476158.89,137711.183	476162.8353,137703.0938	476154.7462,137699.1485	476150.8008,137707.2376
Hire Labour 	476251.3561,137704.0377	476245.3561,137714.43	476240.1599,137711.43	476246.1599,137701.0377
Humanity First 1	476102.8132,137572.1469	476107.1434,137574.6469	476102.1434,137583.3071	476097.8132,137580.8071
Humanity First 2	475910.6783,137441.824	475908.4306,137447.3871	475919.5568,137451.8823	475921.8045,137446.3192
Humanity First 3	476461.4163,137539.31	476455.4163,137549.7023	476450.2201,137546.7023	476456.2201,137536.31
Humanity First 4	476105.1972,137566.0177	476102.1972,137571.2138	476107.3934,137574.2138	476110.3934,137569.0177
Hygiene 	476138.0433,137269.0942	476142.5433,137261.2999	476126.9548,137252.2999	476122.4548,137260.0942
Hygiene Accom 1 	476486.6344,137722.984	476480.7255,137724.0259	476479.6836,137718.1171	476485.5925,137717.0752
Hygiene Accom 2 	476493.0356,137721.8553	476487.1268,137722.8972	476486.0849,137716.9884	476491.9937,137715.9465
IAAAE 	476120.9143,137538.7924	476119.4143,137541.3904	476124.6104,137544.3904	476126.1104,137541.7924
Inspection Office 	476087.346,137550.5151	476084.346,137555.7113	476089.5421,137558.7113	476092.5421,137553.5151
Int Quran Ac 3x6	476119.1643,137541.8234	476117.6643,137544.4215	476122.8604,137547.4215	476124.3604,137544.8234
Jalsa Gah Accommodation 9x15	476179.2448,137293.4373	476166.2544,137285.9373	476170.7544,137278.1431	476183.7448,137285.6431
Jalsa Gah Ladies	476203.1516,137551.4708	476309.1053,137495.1342	476285.6317,137450.9868	476179.678,137507.3234
Jalsa Gah Men	476143.3319,137481.5674	476266.9446,137415.8414	476243.471,137371.694	476119.8583,137437.42
Jalsa Salana Office 9x24	476157.8912,137300.9225	476162.2545,137293.051	476141.2636,137281.4155	476136.9003,137289.2871
JG Office 3x10 1	476199.5608,137337.4747	476198.3608,137339.5531	476193.1646,137336.5531	476194.3646,137334.4747
JG Office 3x10 2	476201.5608,137334.0106	476200.0608,137336.6086	476191.4005,137331.6086	476192.9005,137329.0106
JS Offices	476136.0215,137288.8099	476138.5097,137283.3502	476105.7511,137268.4212	476103.2629,137273.881
K10 6x6	476432.8573,137422.6634	476429.8573,137427.8596	476435.0535,137430.8596	476438.0535,137425.6634
K22 4x6	476225.4999,137250.3665	476227.4999,137246.9024	476222.3038,137243.9024	476220.3038,137247.3665
K23 4x6	476635.6535,137609.688	476639.1176,137611.688	476642.1176,137606.4919	476638.6535,137604.4919
K24 5x5	475929.8291,137988.5469	475929.8291,137983.5469	475924.8291,137983.5469	475924.8291,137988.5469
K3 3x3	475671.8454,137734.6533	475671.3245,137731.6988	475668.37,137732.2198	475668.891,137735.1742
K8 3x3	476228.5659,137772.5802	476226.2678,137774.5086	476224.3394,137772.2104	476226.6376,137770.2821
KA ADV 6x6	476743.5432,137739.7752	476743.5432,137733.7752	476737.5432,137733.7752	476737.5432,137739.7752
KA1 6x6	475673.4082,137743.5165	475672.3664,137737.6077	475666.4575,137738.6496	475667.4994,137744.5584
KA2 6x6	476170.0257,137706.6008	476167.3955,137711.9935	476172.7882,137714.6238	476175.4184,137709.231
KA3 6x6	476572.3355,137916.0584	476571.2936,137910.1496	476565.3848,137911.1915	476566.4266,137917.1003
KA4 3x3	476741.4014,137748.81	476741.4014,137745.81	476738.4014,137745.81	476738.4014,137748.81
KA6 6x6	475998.12,137189.4546	475995.8724,137195.0177	476001.4355,137197.2653	476003.6831,137191.7022
KeK 6x6	476131.881,137601.9861	476128.881,137607.1822	476134.0772,137610.1822	476137.0772,137604.9861
KeK 9x24	476047.4884,137553.465	476026.7038,137541.465	476031.2038,137533.6707	476051.9884,137545.6707
KEK Accommodation  20x50	476002.8048,137328.5899	476010.2969,137310.0462	475963.9377,137291.3159	475956.4456,137309.8596
Kidney Care	475997.159,137457.3508	475991.5959,137455.1032	475992.7197,137452.3216	475998.2828,137454.5693
Ladies Accommodation 2 15x65 1	476317.9501,137679.6207	476374.2418,137712.1207	476359.2418,137738.1014	476302.9501,137705.6014
Ladies Accommodation 2 15x65 2	476327.4501,137663.1662	476383.7418,137695.6662	476376.2418,137708.6565	476319.9501,137676.1565
Ladies Accommodation Office 12x15	476272.8649,137727.7833	476280.3649,137714.7929	476269.9726,137708.7929	476262.4726,137721.7833
Ladies Amenities 6x6	476208.0027,137616.0113	476202.705,137618.8282	476199.8882,137613.5305	476205.1859,137610.7137
Ladies Dining 2 25x55	476414.2978,137624.2415	476441.7978,137576.6101	476420.1472,137564.1101	476392.6472,137611.7415
